triumph 胜利
crucial 至关重要的，决定性的
inevitable 不可避免的
intellectual 知识分子
intelligence 智力
compare 比较；把···比作
contrast 对比，吧···域···对比
attain 达到，完成
dread 恐惧，担心
introduce 介绍
glowing 热烈赞扬的
relieve 减轻，接触
prosperous 繁荣的兴旺的
correspond 通信
primary 最初的；主要的重要的
approach 靠近，接近
sensation 感觉
rectify 纠正，整顿
parallel 平行的，相同的
anonymous 匿名的
ratio 比率，比例
feature 特性
foremost 最先的
edge 又是，边缘
casualty 伤亡人数，被害人
proposition 主张，建议
apprehensive 忧虑的，担心的
add 加，增加
analogy 类似，相似，类比
charity 慈善
chronic 慢性的
underlie 成为··的基础
late 迟的
assimilate 吸收
appreciate 为··表示感激
embrace 拥抱，包含
distinct 清楚的的，明显的
elevt 选举，推选
fundamental 基础的
launch 发射
imperative 命令
mechanical 机械的
initiative 传世的
purchase 购买
terrify 是海派
partial 部分的
illusion 幻觉的
campaign 战役
enhance 提高
temper 脾气
morality 道德
monotonous 单调的
sneak 偷偷携带
soccur 发生
svulnerable 易受攻击的
susceptible 易受影响的
insidious潜伏的
subtle 精巧的
shorizon 地平线
privilege 特权的
justify 证明···政党
acknowledge 承认
mechanical 机械装置
visible 看得见的
fade 小时，褪色
flaw 缺陷
entail 牵涉
safeguard 保护
relevant 有关的
profile 侧面
operation 运转
ingredient 组成成分
